"Observations" "feature1" "feature2" "feature3"
"1" "1" "-1.31694270777923" "0.704810352763161"
"2" "0" "3.04728027211204" "0.965684719383717"
"3" "4" "-0.16951195867323" "0.071876815520227"
"4" "0" "0.845164798786577" "0.437922065379098"
"5" "1" "1.32741677363479" "0.701075442833826"
"6" "3" "1.14795693720336" "0.564152362756431"
"7" "3" "-0.0399496952891557" "0.535110796568915"
"8" "2" "-1.61750258863307" "0.681942333700135"
"9" "0" "-0.407689768735987" "0.739464026177302"
"10" "5" "-1.38462450765141" "0.602994086919352"
"11" "2" "-0.81121127890005" "0.882274175062776"
"12" "3" "-2.36446233078803" "0.652495963964611"
"13" "4" "0.35334680004729" "0.741935508092865"
"14" "4" "-0.259614428079096" "0.141060483176261"
"15" "4" "-2.86224055611706" "0.323860636912286"
"16" "2" "-0.893203431581256" "0.708014552714303"
"17" "1" "-0.811783093185497" "0.440981684951112"
"18" "3" "0.511388022939114" "0.489614797756076"
"19" "5" "1.70217397754377" "0.249993795761839"
"20" "2" "-1.85537288478625" "0.56038322369568"
"21" "3" "2.63722085132487" "0.753297375747934"
"22" "5" "0.328321533123472" "0.312272382667288"
"23" "2" "-0.111370933834432" "0.0951031115837395"
"24" "2" "0.963821489682662" "0.609968503704295"
"25" "5" "-0.873769300496652" "0.449366669170558"
"26" "0" "-0.580292345344503" "0.0896962471306324"
"27" "0" "-1.16010963046084" "0.199493636144325"
"28" "3" "-4.42312076664623" "0.478785788873211"
"29" "3" "1.81227052409217" "0.59164129733108"
"30" "1" "1.08335974218085" "0.604962234618142"
"31" "2" "-1.20605437960677" "0.717135079903528"
"32" "0" "-2.98161852798005" "0.97066957084462"
"33" "3" "1.2153111740685" "0.284034779760987"
"34" "4" "0.687001297323106" "0.409213579026982"
"35" "2" "0.741732722772723" "0.227974760578945"
"36" "2" "-0.964866063177557" "0.92412418150343"
"37" "2" "-1.59669510392136" "0.771648640045896"
"38" "0" "2.41346005267418" "0.988813816336915"
"39" "1" "1.21911232820126" "0.633650820003822"
"40" "1" "1.06210075743348" "0.0533312810584903"
"41" "0" "0.173552886895349" "0.757661151932552"
"42" "1" "1.7165450185088" "0.725612147711217"
"43" "0" "-1.01230210042565" "0.949331578332931"
"44" "4" "5.52904499305297" "0.395452776690945"
"45" "2" "-2.8312459766524" "0.818574055563658"
"46" "2" "-2.37779262468611" "0.365507335169241"
"47" "0" "1.82794954961217" "0.418252822011709"
"48" "3" "-2.72499646162451" "0.134537342237309"
"49" "1" "-0.245621513514009" "0.95744450786151"
"50" "5" "3.33321787238659" "0.187715597450733"
"51" "2" "-0.602211291577209" "0.561698868637905"
"52" "3" "4.20363278277196" "0.994771484751254"
"53" "4" "0.50785069232716" "0.785609212471172"
"54" "3" "2.14572796954503" "0.188274602638558"
"55" "3" "-2.26368688239368" "0.746350366156548"
"56" "4" "-1.99482112048722" "0.782571789808571"
"57" "5" "-1.54266807289395" "0.84350730269216"
"58" "3" "-0.733787305415514" "0.104234157362953"
"59" "0" "-1.08669192257501" "0.143409491050988"
"60" "2" "-1.04059374390871" "0.976982676889747"
"61" "1" "0.418691428715304" "0.561693991767243"
"62" "2" "1.55828672558581" "0.453845008974895"
"63" "1" "-1.83063566270883" "0.730955717852339"
"64" "4" "-3.21636601347538" "0.601246048696339"
"65" "4" "-1.58172177398478" "0.194374006707221"
"66" "0" "0.543807418168821" "0.136100887088105"
"67" "1" "-3.09912576032494" "0.655301981139928"
"68" "4" "-1.83579902376466" "0.929435610771179"
"69" "5" "1.06658034252243" "0.0210746410302818"
"70" "1" "1.18942201467234" "0.112241494935006"
"71" "3" "-1.39844501490086" "0.0327910920605063"
"72" "2" "-0.776391831126533" "0.943413645960391"
"73" "5" "-2.14296068468492" "0.429304402321577"
"74" "2" "2.77802654703394" "0.537328357808292"
"75" "2" "-2.97578224720342" "0.808285641483963"
"76" "1" "-0.4938529082157" "0.1059968941845"
"77" "4" "0.151066562002064" "0.108973423484713"
"78" "3" "-0.772206118432805" "0.0598134486936033"
"79" "3" "3.72777123377251" "0.967796155717224"
"80" "4" "1.60447161425614" "0.82064761640504"
"81" "1" "0.434271338195378" "0.660238485084847"
"82" "1" "-0.257039057563738" "0.342151785735041"
"83" "3" "3.05844589466644" "0.91285749245435"
"84" "1" "1.74871644098736" "0.971630402142182"
"85" "4" "1.3096910117579" "0.21320474636741"
"86" "3" "-0.067558152916843" "0.629995601717383"
"87" "3" "-3.06806005512808" "0.545028150314465"
"88" "3" "-1.20657237589078" "0.472557193366811"
"89" "4" "1.91394824862142" "0.566645037382841"
"90" "5" "-2.34372734584287" "0.476178408367559"
"91" "4" "0.163203278051456" "0.67204407369718"
"92" "4" "-0.388983859760426" "0.722315516322851"
"93" "5" "0.76162794363218" "0.410806734580547"
"94" "4" "-0.272510862776388" "0.701460073702037"
"95" "3" "1.76147659165971" "0.86898840079084"
"96" "1" "-3.16883311518018" "0.454941994743422"
"97" "2" "-0.702976250192755" "0.263541851425543"
"98" "3" "-2.32376074631603" "0.122576193651184"
"99" "0" "-2.00532136493737" "0.569824615726247"
"100" "5" "0.780353334327843" "0.581692822510377"
